DATE,RWLBCAQ027S
1946-10-01,-4917
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,-9289
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,-2417
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,-879
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,1843
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,-877
1952-01-01,-3522
1952-04-01,-1126
1952-07-01,1054
1952-10-01,1234
1953-01-01,1347
1953-04-01,1827
1953-07-01,1179
1953-10-01,931
1954-01-01,488
1954-04-01,-336
1954-07-01,76
1954-10-01,-908
1955-01-01,-483
1955-04-01,229
1955-07-01,-807
1955-10-01,-427
1956-01-01,-943
1956-04-01,-2231
1956-07-01,-3023
1956-10-01,-4531
1957-01-01,-5556
1957-04-01,-4806
1957-07-01,-4914
1957-10-01,-3594
1958-01-01,-1477
1958-04-01,-821
1958-07-01,-1049
1958-10-01,143
1959-01-01,1524
1959-04-01,2108
1959-07-01,580
1959-10-01,876
1960-01-01,-1725
1960-04-01,-2487
1960-07-01,-3697
1960-10-01,-4778
1961-01-01,-5331
1961-04-01,-4016
1961-07-01,-3758
1961-10-01,-3743
1962-01-01,-3051
1962-04-01,-4769
1962-07-01,-4132
1962-10-01,-3249
1963-01-01,-3878
1963-04-01,-5318
1963-07-01,-4625
1963-10-01,-5966
1964-01-01,-8242
1964-04-01,-6741
1964-07-01,-7563
1964-10-01,-7326
1965-01-01,-5749
1965-04-01,-7037
1965-07-01,-5950
1965-10-01,-5895
1966-01-01,-4683
1966-04-01,-3914
1966-07-01,-2720
1966-10-01,-3914
1967-01-01,-4374
1967-04-01,-3557
1967-07-01,-3178
1967-10-01,-2828
1968-01-01,-1655
1968-04-01,-2218
1968-07-01,-1472
1968-10-01,-782
1969-01-01,-1601
1969-04-01,-645
1969-07-01,-1448
1969-10-01,-2714
1970-01-01,-3791
1970-04-01,-5222
1970-07-01,-3487
1970-10-01,-2373
1971-01-01,-4328
1971-04-01,-59
1971-07-01,361
1971-10-01,2845
1972-01-01,5055
1972-04-01,4777
1972-07-01,3635
1972-10-01,2818
1973-01-01,-2169
1973-04-01,-5372
1973-07-01,-12435
1973-10-01,-15321
1974-01-01,-16482
1974-04-01,-2627
1974-07-01,-273
1974-10-01,-4356
1975-01-01,-17841
1975-04-01,-21394
1975-07-01,-18329
1975-10-01,-21563
1976-01-01,-13092
1976-04-01,-8946
1976-07-01,-2358
1976-10-01,-3778
1977-01-01,8074
1977-04-01,8902
1977-07-01,7929
1977-10-01,19007
1978-01-01,25094
1978-04-01,12939
1978-07-01,11470
1978-10-01,1358
1979-01-01,1906
1979-04-01,2808
1979-07-01,-2325
1979-10-01,2707
1980-01-01,10787
1980-04-01,-9718
1980-07-01,-28026
1980-10-01,-6575
1981-01-01,-1542
1981-04-01,-51
1981-07-01,-6953
1981-10-01,-4471
1982-01-01,-533.0
1982-04-01,-17320.0
1982-07-01,14143.0
1982-10-01,17362.0
1983-01-01,8006.0
1983-04-01,27742.0
1983-07-01,48001.0
1983-10-01,56862.0
1984-01-01,78625
1984-04-01,88016.0
1984-07-01,90535.0
1984-10-01,103529.0
1985-01-01,89548.0
1985-04-01,111512.0
1985-07-01,121425.0
1985-10-01,135309.0
1986-01-01,128443.0
1986-04-01,141970.0
1986-07-01,150322.0
1986-10-01,150400.0
1987-01-01,151062.0
1987-04-01,154520.0
1987-07-01,154189.0
1987-10-01,157152.0
1988-01-01,127010.0
1988-04-01,110086
1988-07-01,106588.0
1988-10-01,119741.0
1989-01-01,106832
1989-04-01,93719.0
1989-07-01,81796.0
1989-10-01,88452
1990-01-01,90867.0
1990-04-01,73015.0
1990-07-01,82532.0
1990-10-01,82660.0
1991-01-01,-42129.0
1991-04-01,-14203.0
1991-07-01,29033.0
1991-10-01,16964.0
1992-01-01,22016
1992-04-01,39807
1992-07-01,46759
1992-10-01,68602
1993-01-01,59160
1993-04-01,73878
1993-07-01,76995
1993-10-01,107592
1994-01-01,92238
1994-04-01,111884
1994-07-01,121880
1994-10-01,137877
1995-01-01,118625
1995-04-01,118320.0
1995-07-01,100980.0
1995-10-01,83961.0
1996-01-01,102247.0
1996-04-01,108621
1996-07-01,132792
1996-10-01,113602
1997-01-01,131417
1997-04-01,101659
1997-07-01,122686
1997-10-01,163311
1998-01-01,164257
1998-04-01,195431
1998-07-01,224054
1998-10-01,235212
1999-01-01,241165.0
1999-04-01,273649.0
1999-07-01,306597.0
1999-10-01,342851.0
2000-01-01,376482.0
2000-04-01,386380.0
2000-07-01,424021.0
2000-10-01,429385.0
2001-01-01,419192.0
2001-04-01,379881.0
2001-07-01,360031.0
2001-10-01,344210.0
2002-01-01,406857.0
2002-04-01,451721.0
2002-07-01,453350.0
2002-10-01,493127.0
2003-01-01,533399.0
2003-04-01,519200.0
2003-07-01,516496.0
2003-10-01,502187.0
2004-01-01,540609.0
2004-04-01,617695.0
2004-07-01,623032.0
2004-10-01,715591.0
2005-01-01,686524.0
2005-04-01,705815.0
2005-07-01,674282.0
2005-10-01,832701.0
2006-01-01,792499.0
2006-04-01,815232.0
2006-07-01,859012.0
2006-10-01,750148.0
2007-01-01,799499.0
2007-04-01,756304.0
2007-07-01,685992.0
2007-10-01,630319.0
2008-01-01,732331.0
2008-04-01,718160.0
2008-07-01,684640.0
2008-10-01,609756.0
2009-01-01,393135.0
2009-04-01,361397.0
2009-07-01,373476.0
2009-10-01,401857.0
2010-01-01,435797.0
2010-04-01,450445.0
2010-07-01,475763.0
2010-10-01,424447.0
2011-01-01,487636.0
2011-04-01,509001.0
2011-07-01,462338.0
2011-10-01,473634.0
2012-01-01,512606.0
2012-04-01,496941.0
2012-07-01,438429.0
2012-10-01,398685.0
2013-01-01,426511
2013-04-01,413686
2013-07-01,386391
2013-10-01,321151
2014-01-01,382107
2014-04-01,355270
2014-07-01,368769
2014-10-01,431540
2015-01-01,454531
2015-04-01,433778
2015-07-01,483144
2015-10-01,432500
2016-01-01,492117
2016-04-01,432122
2016-07-01,443794
2016-10-01,477396
2017-01-01,487749
2017-04-01,514119
2017-07-01,428420
